Critère;Description;Interprétation;Poids(ex)
forwardPE (Price-to-Earnings Ratio);Le ratio cours/bénéfice à terme (forward PE) mesure le prix de l'action divisé par les bénéfices prévus par action. Il est utilisé pour évaluer si une action est surévaluée ou sous-évaluée par rapport à ses bénéfices futurs.;"- Un forward PE faible est généralement préféré car il peut indiquer que l'action est sous-évaluée.

- Un forward PE élevé peut être acceptable pour des entreprises à forte croissance où les bénéfices futurs sont attendus.";"- Pour la valorisation : -1 (négatif) - Un forward PE faible améliore le score, tandis qu'un forward PE élevé le diminue.

- Pour la croissance : 0 (neutre) - Un forward PE élevé peut être toléré si l'entreprise a un fort potentiel de croissance."
returnOnEquity (ROE);Le rendement des capitaux propres (ROE) mesure la rentabilité de l'entreprise par rapport aux fonds propres des actionnaires.;"- Un ROE élevé est un bon indicateur de la rentabilité et de l'efficacité de l'utilisation des fonds propres.

- Un ROE faible peut indiquer une entreprise en phase de croissance initiale qui réinvestit massivement dans ses opérations.";"- Pour la rentabilité : 1 (positif) - Un ROE élevé améliore le score.

- Pour la croissance : 0 (neutre) - Un ROE faible peut être toléré si l'entreprise est en phase de forte croissance."
grossMargins (Marge brute);La marge brute est le ratio entre le bénéfice brut et les revenus. Elle indique la proportion des revenus qui reste après déduction des coûts de production des biens vendus.;"- Une marge brute élevée est généralement préférée car elle indique une forte rentabilité des ventes.

- Une marge brute plus faible peut être acceptable dans des industries avec des volumes de ventes élevés et des coûts de production bas.";"- Pour la rentabilité : 1 (positif) - Une marge brute élevée améliore le score.

- Pour la croissance des revenus : 0 (neutre) - Une marge brute plus faible peut être tolérée si les revenus croissent rapidement."
revenueGrowth (Croissance des revenus);La croissance des revenus mesure l'augmentation des ventes de l'entreprise sur une période donnée.;"- Une forte croissance des revenus est un indicateur positif de la capacité de l'entreprise à augmenter ses ventes et à capturer des parts de marché.

- Une croissance des revenus modérée peut être acceptable pour des entreprises matures avec une forte rentabilité.";"- Pour la croissance : 2 (positif) - Une forte croissance des revenus a un impact significatif et améliore fortement le score.

- Pour la rentabilité : 1 (positif) - Une croissance des revenus modérée est tolérée si l'entreprise est très rentable."
debtToEquity (Ratio dette/capitaux propres);Le ratio dette/capitaux propres mesure la proportion de la dette utilisée pour financer les actifs de l'entreprise par rapport aux fonds propres.;"- Un ratio faible est généralement préféré car il indique que l'entreprise utilise moins de dette et est moins risquée.

- Un ratio élevé peut être acceptable si l'entreprise utilise la dette pour financer sa croissance et peut facilement couvrir ses paiements d'intérêts.";"- Pour la sécurité : -1 (négatif) - Un ratio faible améliore le score, tandis qu'un ratio élevé le diminue.

- Pour la croissance : 0 (neutre) - Un ratio élevé peut être toléré si l'entreprise est en forte croissance et utilise efficacement la dette."
freeCashflow (Flux de trésorerie disponible);Le flux de trésorerie disponible est l'argent généré par l'entreprise après avoir déduit les dépenses en capital nécessaires pour maintenir ou étendre ses actifs.;"- Un flux de trésorerie disponible élevé est un bon indicateur de la capacité de l'entreprise à générer des liquidités excédentaires.

- Un flux de trésorerie disponible faible peut être acceptable si l'entreprise réinvestit massivement pour sa croissance future.";"- Pour la rentabilité : 1 (positif) - Un flux de trésorerie disponible élevé améliore le score.

- Pour la croissance : 0 (neutre) - Un flux de trésorerie disponible faible peut être toléré si l'entreprise réinvestit pour sa croissance."
pegRatio (Price/Earnings to Growth Ratio);Le ratio PEG compare le ratio cours/bénéfice (PE) à la croissance des bénéfices. Il est utilisé pour évaluer si une action est surévaluée ou sous-évaluée en tenant compte de sa croissance des bénéfices.;"- Un ratio PEG faible est généralement préféré car il indique que l'action est sous-évaluée par rapport à sa croissance des bénéfices.

- Un ratio PEG élevé peut être acceptable pour des entreprises à forte croissance où les bénéfices futurs sont attendus.";"- Pour la valorisation : -1 (négatif) - Un ratio PEG faible améliore le score.

- Pour la croissance : 0 (neutre) - Un ratio PEG élevé peut être toléré si l'entreprise a un fort potentiel de croissance."
dividendYield (Rendement du dividende);Le rendement du dividende est le ratio entre le dividende annuel par action et le prix de l'action. Il est utilisé pour évaluer le retour sur investissement pour les actionnaires.;"- Un rendement du dividende élevé est généralement préféré car il indique un bon retour sur investissement pour les actionnaires.

- Un rendement du dividende faible ou nul peut être acceptable pour des entreprises en forte croissance qui réinvestissent leurs bénéfices.";"- Pour le rendement : 1 (positif) - Un rendement du dividende élevé améliore le score.

- Pour la croissance : 0 (neutre) - Un rendement du dividende faible ou nul peut être toléré si l'entreprise réinvestit pour sa croissance."
currentRatio (Ratio de liquidité courante);Le ratio de liquidité courante mesure la capacité de l'entreprise à couvrir ses passifs à court terme avec ses actifs à court terme.;"- Un ratio supérieur à 1 est généralement préféré car il indique que l'entreprise est capable de couvrir ses passifs à court terme.

- Un ratio inférieur à 1 peut être acceptable pour des entreprises avec des flux de trésorerie très stables.";"- Pour la sécurité : 1 (positif) - Un ratio de liquidité courante élevé améliore le score.

- Pour la croissance : 0 (neutre) - Un ratio inférieur à 1 peut être toléré si l'entreprise a des flux de trésorerie stables."
priceToSalesTrailing12Months (P/S Ratio);Le ratio P/S compare le prix de l'action aux revenus par action sur les 12 derniers mois. Il est utilisé pour évaluer les entreprises à forte croissance.;"- Un ratio P/S faible est généralement préféré car il indique que l'action est sous-évaluée par rapport à ses revenus.

- Un ratio P/S élevé peut être acceptable pour des entreprises avec un potentiel de croissance exceptionnel.";"- Pour la valorisation : -1 (négatif) - Un ratio P/S faible améliore le score.

- Pour la croissance : 0 (neutre) - Un ratio P/S élevé peut être toléré si l'entreprise a un potentiel de croissance exceptionnel."
